ID,Описание тест-кейса,Автор тест-кейса,Устройство/Версия ПО,Приоритет,Ожидаемый результат,Фактический результат
1,"Открыть приложение ""Госуслуги"" на телефоне",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Приложение открылось,Приложение открылось
,"(Тест работы Push уведомлений приложения: ""Госуслуги"" v.5.3.2) Запрос на получение информации о проверке ИНН.",,,,,
2,Выполнить вход(авторизоваться),Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Вход выполнен,Вход выполнен
,,,,,,
,,,,,,
,,,,,,
3,"Перейти в пункт: ""Профиль пользователя""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Переход в данный пункт осуществлен,Переход в данный пункт осуществлен
,,,,,,
,,,,,,
,,,,,,
4,"Перейти в пункт:  ""Настройки уведомлений""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Переход в данный пункт осуществлен,Переход в данный пункт осуществлен
,,,,,,
,,,,,,
5,"Отключить Push уведомление: ""Статусы заявлений""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Данное  Push уведомление отключено,Переход в данный пункт осуществлен
,,,,,,
,,,,,,
6,"Отключить Push уведомление: ""Статусы платежей""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Данное  Push уведомление отключено,Переход в данный пункт осуществлен
,,,,,,
,,,,,,
7,"Отключить Push уведомление: ""Уведомления от Госпочты""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Данное  Push уведомление отключено,Переход в данный пункт осуществлен
,,,,,,
,,,,,,
8,"Отключить Push уведомление: ""Ответы службы поддержки""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Данное  Push уведомление отключено,Переход в данный пункт осуществлен
,,,,,,
,,,,,,
9,"Отключить Push уведомление: ""Статусы записи на прием""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Данное  Push уведомление отключено,Переход в данный пункт осуществлен
,,,,,,
,,,,,,
10,"Отключить Push уведомление: ""Предложения и новости Госуслуг""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Данное  Push уведомление отключено,Переход в данный пункт осуществлен
,,,,,,
,,,,,,
11,"Отключить Push уведомление: ""Применение электронной подписи""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Данное  Push уведомление отключено,Переход в данный пункт осуществлен
,,,,,,
,,,,,,
12,"Перейти в пункт:""Услуги""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Переход в данный пункт осуществлен,Переход в данный пункт осуществлен
,,,,,,
,,,,,,
13,"Перейти в пункт:""Прочее""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Переход в данный пункт осуществлен,Переход в данный пункт осуществлен
,,,,,,
,,,,,,
14,"Перейти в пункт:""Проверка ИНН""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Переход в данный пункт осуществлен,Переход в данный пункт осуществлен
,,,,,,
,,,,,,
15,"Активировать запрос:""Проверка ИНН""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Запрос активирован,Запрос активирован
,,,,,,
,,,,,,
16,Ожидание Push уведомлений,Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,"После активации запроса, Push уведомление не пришло","После активации запроса, Push уведомление не пришло"
,,,,,,
,,,,,,
17,"Перейти в пункт:  ""Настройки уведомлений""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Переход в данный пункт осуществлен,Переход в данный пункт осуществлен
,,,,,,
,,,,,,
18,"Включить Push уведомление: ""Статусы заявлений""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Данное  Push уведомление включено,Данное  Push уведомление включено
,,,,,,
,,,,,,
19,"Включить Push уведомление: ""Статусы платежей""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Данное  Push уведомление включено,Данное  Push уведомление включено
,,,,,,
,,,,,,
20,"Включить Push уведомление: ""Уведомления от Госпочты""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Данное  Push уведомление включено,Данное  Push уведомление включено
,,,,,,
,,,,,,
21,"Включить Push уведомление: ""Ответы службы поддержки""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Данное  Push уведомление включено,Данное  Push уведомление включено
,,,,,,
,,,,,,
22,"Включить Push уведомление: ""Статусы записи на прием""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Данное  Push уведомление включено,Данное  Push уведомление включено
,,,,,,
,,,,,,
23,"Включить Push уведомление: ""Предложения и новости Госуслуг""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Данное  Push уведомление включено,Данное  Push уведомление включено
,,,,,,
,,,,,,
24,"Включить Push уведомление: ""Применение электронной подписи""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Данное  Push уведомление включено,Данное  Push уведомление включено
,,,,,,
,,,,,,
25,"Перейти в пункт:""Услуги""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Переход в данный пункт осуществлен,Переход в данный пункт осуществлен
,,,,,,
,,,,,,
26,"Перейти в пункт:""Прочее""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Переход в данный пункт осуществлен,Переход в данный пункт осуществлен
,,,,,,
,,,,,,
27,"Перейти в пункт:""Проверка ИНН""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Переход в данный пункт осуществлен,Переход в данный пункт осуществлен
,,,,,,
,,,,,,
28,"Активировать запрос:""Проверка ИНН""",Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,Запрос активирован,Запрос активирован
,,,,,,
,,,,,,
29,Ожидание Push уведомлений,Троянов А.А.,IPhoneXr/IOS 15.3.1,Высокий,"После активации запроса, Push уведомление пришло","После активации запроса, Push уведомление пришло"
